,Name,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29
32,svchost.exe,2368,185,312500,53,774,884,2268,2203400404992,8336,8,2228224,2368,10,73,11,73,0,781250,2203398307840,2994,2176,34,714,7,8531968,0,0,1,1
33,svchost.exe,2396,224,30156250,50168,578434,884,18448,2207744765952,26088,8,2842624,2396,13,106,14,126,0,27812500,2207732346880,282413,2776,32,2312680,4,14503936,1332,16767005,1,1
34,svchost.exe,2432,188,1250000,30,110,884,1464,2203392229376,6084,8,1335296,2432,8,65,8,66,0,625000,2203390128128,3186,1304,0,0,3,6193152,0,0,1,1
35,svchost.exe,2536,441,11562500,40706,3172108,884,3688,2203407429632,10228,8,3178496,2536,13,93,17,93,0,8437500,2203397984256,17573,3104,0,0,8,10338304,0,0,1,1
36,Memory Compression,2556,0,19687500,0,0,4,252,96600064,87652,8,253952,2556,0,5,0,5,0,0,84017152,43209,248,0,0,30,44609536,0,0,1,0
37,svchost.exe,2612,180,156250,116,2066,884,2376,2203401809920,8964,8,1994752,2612,13,78,15,80,0,0,2203396358144,2445,1948,108,2172,2,9015296,0,0,1,1
38,igfxCUIService.exe,2660,183,156250,149,2408,884,2184,2203407314944,9592,8,2002944,2660,11,90,13,91,0,312500,2203399974912,2672,1956,72,1448,2,9728000,0,0,1,1
39,svchost.exe,2728,204,3125000,2493,119648,884,2332,2203400286208,8576,8,1953792,2728,10,75,15,77,0,781250,2203393470464,3430,1908,0,0,2,8638464,0,0,1,1
40,svchost.exe,2736,148,1250000,9022,295836,884,8404,2203481579520,16128,8,2162688,2736,10,121,14,202,0,5468750,2203443912704,20789,2112,0,0,4,8155136,0,0,1,1
41,svchost.exe,2944,398,6562500,3689,138618,884,4584,2203422281728,14972,8,3661824,2944,14,116,17,117,0,4062500,2203415252992,6975,3576,0,0,10,15241216,0,0,1,1
42,svchost.exe,3040,268,27187500,68377,3691823,884,3928,2203409031168,9504,8,4022272,3040,14,85,22,89,0,8906250,2203405885440,17384,3928,4,1648,11,9719808,0,0,1,1
43,svchost.exe,3048,140,1562500,1979,213582,884,2164,2203391447040,7128,8,1839104,3048,11,65,14,65,0,312500,2203388301312,2436,1796,0,0,4,7241728,0,0,1,1
44,svchost.exe,3056,397,781250,766,58312,884,3728,2203411550208,11136,8,2793472,3056,16,102,21,102,0,781250,2203402084352,4939,2728,0,0,6,11214848,0,0,1,1
45,svchost.exe,3244,550,2812500,3233,1934404,884,10224,2203459219456,23168,8,7684096,3244,24,172,27,193,0,1406250,2203448217600,12301,7504,503,211332,11,23498752,14,160,1,1
46,svchost.exe,3300,215,312500,257,9252,884,2848,2203403448320,9288,8,2555904,3300,12,78,15,79,0,156250,2203399020544,2649,2496,0,0,7,9371648,0,0,1,1
47,svchost.exe,3344,231,937500,1903,521976,884,2984,2203423608832,14888,8,2654208,3344,14,121,18,124,0,625000,2203416793088,4500,2592,0,0,3,15052800,0,0,1,1
48,spoolsv.exe,3460,454,937500,1158,53142,884,6492,2203429281792,16892,8,5861376,3460,22,142,32,150,0,468750,2203423428608,4689,5724,2,232,7,17235968,2,320,0,1
49,svchost.exe,3572,450,14843750,7125,3062330,884,16312,2203451711488,27468,8,12681216,3572,33,143,38,144,0,12343750,2203448487936,49177,12384,2,232,13,23490560,3,33088,1,1
50,wlanext.exe,3604,105,312500,154,11082,3244,1352,2203387105280,5988,8,1179648,3604,7,62,9,64,0,0,2203383648256,1668,1152,11,638,1,6037504,0,0,0,0
51,conhost.exe,3616,102,156250,40,1356,3604,6312,2203402174464,10740,8,6373376,3616,7,79,8,79,0,312500,2203400601600,2918,6224,0,0,2,10964992,0,0,0,1
52,svchost.exe,3644,188,468750,4900,18902,884,2368,2203403325440,8588,8,2166784,3644,11,83,16,90,0,781250,2203399655424,4548,2116,1353,70048,5,8744960,1029,107576,1,1
53,svchost.exe,3860,339,48125000,22472,3077828,884,35064,2203743670272,48976,8,28983296,3860,18,133,35,142,0,40937500,2203470999552,383902,28304,1079,8462336,18,40873984,6436,28712960,1,1
54,svchost.exe,3868,495,5000000,476,24613,884,12028,2203446681600,22632,8,10174464,3868,17,111,19,112,0,19687500,2203433050112,28611,9936,1197,9541788,19,21110784,57,1696580,1,1
55,OfficeClickToRun.exe,3884,703,3281250,10753,532468,884,78156,2203621892096,98336,8,36618240,3884,27,283,29,289,0,12656250,2203582705664,42240,35760,2891,5703713,19,62070784,19,113200,1,1
56,OneApp.IGCC.WinService.exe,3892,725,1875000,924,10652,884,31808,4982087680,35508,8,32423936,3892,42,351,44,351,0,937500,4931477504,21236,31664,85,191968,5,36319232,288,14056,1,1
